Region_Comercial,Subregion_Comercial,Locacion_Comercial,AGRUP_PIVO,CANAL,Marca,Tamano,EMPAQUE,Retornable,Agrup_Producto,SKU,MES,MES_CUOTA, AL_CUOTA ,AL_VENTA_2017,AL_VENTA_2018,AL_VENTA_2019,YEAR_2018,YEAR_2019
REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,22,22,49,37,76,230,375
REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,539,543,440,535,514,2415,1996
REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,28,28,15,8,26,35,89
REGION SUR,Sub. Tacna,22 SAN JUAN DE DIOS MOQUEGUA,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,127,127,90,85,90,376,325
REGION SUR,Sub. Tacna,22 SAN JUAN DE DIOS MOQUEGUA,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,91,91,48,113,170,456,533
REGION SUR,Sub. Tacna,22 SAN JUAN DE DIOS MOQUEGUA,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,475,475,351,484,529,1837,1785
REGION SUR,Sub. Tacna,22 SAN JUAN DE DIOS MOQUEGUA,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,69,69,32,76,54,246,191
REGION SUR,Sub. Puno,C1 EMBID MACUSANI,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,9,9,13,13,17,55,38
REGION SUR,Sub. Puno,C1 EMBID MACUSANI,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,354,354,211,250,307,1020,1196
REGION SUR,Sub. Puno,C1 EMBID MACUSANI,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,37,37,17,46,26,125,97
REGION SUR,Sub. Puno,89 EMBID JULIACA,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,368,369,216,319,321,1326,1303
REGION SUR,Sub. Puno,89 EMBID JULIACA,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,2347,2347,853,1309,1710,4896,6507
REGION SUR,Sub. Puno,89 EMBID JULIACA,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,1189,1188,908,1076,1118,4234,4364
REGION SUR,Sub. Puno,89 EMBID JULIACA,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,33,33,318,49,27,197,102
REGION SUR,Sub. Puno,60 EMBID DESAGUADERO,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,4,4,13,10,2,26,8
REGION SUR,Sub. Puno,60 EMBID DESAGUADERO,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,13,13,12,5,10,15,48
REGION SUR,Sub. Puno,60 EMBID DESAGUADERO,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,13,13,31,24,18,107,70
REGION SUR,Sub. Puno,60 EMBID DESAGUADERO,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,13,13,3,3,3,22,27
REGION SUR,Sub. Puno,50 EMBID ILAVE,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,11,11,20,17,17,61,39
REGION SUR,Sub. Puno,50 EMBID ILAVE,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,2,2,2,4,3,10,6
REGION SUR,Sub. Puno,50 EMBID ILAVE,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,69,69,74,92,83,339,279
REGION SUR,Sub. Puno,50 EMBID ILAVE,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,0,0,0,0,0,4,0
REGION SUR,Sub. Puno,23 EMBID YUNGUYO,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,1,1,3,6,3,15,7
REGION SUR,Sub. Puno,23 EMBID YUNGUYO,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,2,2,13,7,7,40,20
REGION SUR,Sub. Puno,23 EMBID YUNGUYO,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,39,39,52,38,29,157,94
REGION SUR,Sub. Puno,23 EMBID YUNGUYO,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,1,1,0,3,1,16,4
REGION SUR,Sub. Puno,15 EMBID AYAVIRI,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,17,17,40,36,45,164,116
REGION SUR,Sub. Puno,15 EMBID AYAVIRI,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,9,9,32,13,48,67,79
REGION SUR,Sub. Puno,15 EMBID AYAVIRI,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,110,110,238,250,250,937,586
REGION SUR,Sub. Puno,15 EMBID AYAVIRI,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,2,2,14,12,2,42,6
REGION SUR,Sub. Cusco,C6 JHOSELIN HUEPETUHE,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,6,6,0,7,3,19,22
REGION SUR,Sub. Cusco,C6 JHOSELIN HUEPETUHE,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,27,27,0,11,20,12,69
REGION SUR,Sub. Cusco,C6 JHOSELIN HUEPETUHE,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,4,4,7,14,7,45,30
REGION SUR,Sub. Cusco,C6 JHOSELIN HUEPETUHE,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,1,1,2,0,1,2,3
REGION SUR,Sub. Cusco,A0 ANDINO MACHUPICCHU,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,42,42,22,77,25,189,116
REGION SUR,Sub. Cusco,A0 ANDINO MACHUPICCHU,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,179,179,95,54,221,376,677
REGION SUR,Sub. Cusco,A0 ANDINO MACHUPICCHU,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,16,16,16,16,26,79,104
REGION SUR,Sub. Cusco,95 INTICHAY QUILLABAMBA,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,141,142,129,139,139,529,497
REGION SUR,Sub. Cusco,95 INTICHAY QUILLABAMBA,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,47,47,16,45,58,131,218
REGION SUR,Sub. Cusco,95 INTICHAY QUILLABAMBA,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,481,481,300,370,516,1502,1825
REGION SUR,Sub. Cusco,95 INTICHAY QUILLABAMBA,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,42,42,43,46,63,223,206
REGION SUR,Sub. Cusco,92 ANDINO SICUANI,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,10,10,24,16,20,132,57
REGION SUR,Sub. Cusco,92 ANDINO SICUANI,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,8,8,9,3,29,59,50
REGION SUR,Sub. Cusco,92 ANDINO SICUANI,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,116,115,95,88,138,408,424
REGION SUR,Sub. Cusco,92 ANDINO SICUANI,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,4,4,6,4,3,11,14
REGION SUR,Sub. Cusco,91 SALAZAR ABANCAY,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,83,83,90,70,91,330,327
REGION SUR,Sub. Cusco,91 SALAZAR ABANCAY,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,46,46,43,107,53,383,184
REGION SUR,Sub. Cusco,91 SALAZAR ABANCAY,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,655,655,370,430,632,1696,2404
REGION SUR,Sub. Cusco,91 SALAZAR ABANCAY,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,37,37,22,35,39,238,143
REGION SUR,Sub. Cusco,84 JHOSELIN PTO MALDONADO,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,71,72,47,49,38,133,205
REGION SUR,Sub. Cusco,84 JHOSELIN PTO MALDONADO,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,173,173,106,131,162,551,609
REGION SUR,Sub. Cusco,84 JHOSELIN PTO MALDONADO,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,874,874,424,580,672,2033,2732
REGION SUR,Sub. Cusco,84 JHOSELIN PTO MALDONADO,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,24,24,31,32,33,100,83
REGION SUR,Sub. Cusco,32 ANDINO CUSCO,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,204,203,96,159,228,665,785
REGION SUR,Sub. Cusco,32 ANDINO CUSCO,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,306,306,124,190,377,666,1093
REGION SUR,Sub. Cusco,32 ANDINO CUSCO,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,2258,2258,1293,1656,2297,6471,8468
REGION SUR,Sub. Cusco,32 ANDINO CUSCO,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,83,84,27,32,62,155,274
REGION SUR,Sub. Cusco,25 ANDINO URUBAMBA,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,28,26,30,28,28,148,100
REGION SUR,Sub. Cusco,25 ANDINO URUBAMBA,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,27,27,13,23,53,101,140
REGION SUR,Sub. Cusco,25 ANDINO URUBAMBA,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,273,275,201,262,274,984,1020
REGION SUR,Sub. Cusco,25 ANDINO URUBAMBA,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,3,3,8,3,9,13,22
REGION SUR,Sub. Cusco,18 SALAZAR ANDAHUAYLAS,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,44,37,71,57,61,216,194
REGION SUR,Sub. Cusco,18 SALAZAR ANDAHUAYLAS,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,31,37,98,0,57,94,160
REGION SUR,Sub. Cusco,18 SALAZAR ANDAHUAYLAS,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,190,190,191,146,191,669,708
REGION SUR,Sub. Cusco,18 SALAZAR ANDAHUAYLAS,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,0,0,8,3,2,18,6
REGION SUR,Sub. Arequipa,ID ECOBESA MOLLENDO,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,78,78,46,65,52,664,573
REGION SUR,Sub. Arequipa,ID ECOBESA MOLLENDO,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,1,1,0,0,0,8,7
REGION SUR,Sub. Arequipa,ID ECOBESA MOLLENDO,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,375,375,322,354,415,2338,2264
REGION SUR,Sub. Arequipa,ID ECOBESA MOLLENDO,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,8,8,7,6,9,38,36
REGION SUR,Sub. Arequipa,IC ECOBESA AREQUIPA,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,531,531,191,386,474,1489,1921
REGION SUR,Sub. Arequipa,IC ECOBESA AREQUIPA,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,1671,1671,428,618,1278,2873,4878
REGION SUR,Sub. Arequipa,IC ECOBESA AREQUIPA,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,3176,3176,1279,2038,3121,8102,11824
REGION SUR,Sub. Arequipa,IC ECOBESA AREQUIPA,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,76,76,87,66,80,282,286
REGION SUR,Sub. Arequipa,93 COM. SAN JOSE ESPINAR,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,7,7,1,1,1,8,15
REGION SUR,Sub. Arequipa,93 COM. SAN JOSE ESPINAR,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,48,48,34,11,2,58,70
REGION SUR,Sub. Arequipa,93 COM. SAN JOSE ESPINAR,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,74,74,77,17,27,229,150
REGION SUR,Sub. Arequipa,93 COM. SAN JOSE ESPINAR,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,0,0,0,0,1,1,1
REGION SUR,Sub. Arequipa,88 AYA CAMANA,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,33,33,19,35,30,226,173
REGION SUR,Sub. Arequipa,88 AYA CAMANA,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,268,268,129,305,202,1308,982
REGION SUR,Sub. Arequipa,88 AYA CAMANA,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,198,198,182,253,243,1169,1092
REGION SUR,Sub. Arequipa,88 AYA CAMANA,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,14,14,4,11,14,232,170
REGION SUR,Sub. Arequipa,80 PLANTA AREQUIPA May. Direct,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,204,204,0,0,59,355,178
REGION SUR,Sub. Arequipa,40 AYA CHALA,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,16,16,11,19,11,61,52
REGION SUR,Sub. Arequipa,40 AYA CHALA,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,73,73,0,0,0,145,366
REGION SUR,Sub. Arequipa,40 AYA CHALA,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,205,205,142,169,161,660,783
REGION SUR,Sub. Arequipa,40 AYA CHALA,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,0,0,1,0,0,14,0
